Tiempo,Angulo
36.846,98.6°
36.880,99.4°
36.911,100.4°
36.943,101.1°
36.976,102.0°
37.010,102.9°
37.042,103.7°
37.077,104.5°
37.109,105.5°
37.141,106.1°
37.175,107.0°
37.207,107.8°
37.244,108.6°
37.275,109.4°
37.307,110.3°
37.341,111.2°
37.373,111.9°
37.407,112.8°
37.439,113.5°
37.473,114.3°
37.506,115.1°
37.539,115.9°
37.572,116.8°
37.606,117.7°
37.638,118.4°
37.672,119.2°
37.705,119.9°
37.738,120.9°
37.771,121.7°
37.805,122.4°
37.837,123.3°
37.872,124.0°
37.903,125.0°
37.936,125.6°
37.970,126.5°
38.003,127.2°
38.036,128.1°
38.068,128.8°
38.102,129.5°
38.135,130.4°
38.168,131.1°
38.201,132.0°
38.234,132.8°
38.267,133.5°
38.303,134.4°
38.334,135.2°
38.366,135.9°
38.400,136.7°
38.433,137.6°
38.468,138.3°
38.499,139.0°
38.532,139.7°
38.567,140.6°
38.598,141.5°
38.632,142.2°
38.666,143.0°
38.698,143.8°
38.730,144.5°
38.764,145.2°
38.797,146.0°
38.831,146.7°
38.863,147.6°
38.897,148.4°
38.928,149.2°
38.963,150.1°
38.996,150.9°
39.029,151.6°
39.062,152.4°
39.094,153.2°
39.130,154.1°
39.160,154.7°
39.194,155.5°
39.227,156.3°
39.260,157.0°
39.295,157.8°
39.329,158.7°
39.359,159.4°
39.393,160.2°
39.426,161.0°
39.460,161.7°
39.493,162.5°
39.531,163.3°
39.559,164.1°
39.593,164.7°
39.625,165.6°
39.657,166.4°
39.691,167.2°
39.723,167.9°
39.757,168.6°
39.790,169.4°
39.823,170.4°
39.856,171.1°
39.889,171.8°
39.922,172.5°
39.955,173.2°
39.988,174.0°
40.024,174.7°
40.055,175.5°
40.089,176.3°
40.122,177.1°
40.154,177.9°
40.188,178.6°
40.221,179.3°
40.253,-179.9°
40.288,-179.0°
40.320,-178.2°
40.354,-177.5°
40.386,-176.8°
40.418,-176.0°
40.452,-175.1°
40.485,-174.2°
40.518,-173.5°
40.553,-173.0°
40.584,-172.2°
40.618,-171.3°
40.653,-170.5°
40.686,-169.9°
40.717,-169.0°
40.750,-168.2°
40.783,-167.4°
40.816,-166.6°
40.848,-165.8°
40.882,-165.1°
40.915,-164.2°
40.950,-163.4°
40.981,-162.7°
41.015,-161.9°
41.047,-161.3°
41.081,-160.5°
41.114,-159.6°
41.149,-158.9°
41.181,-158.1°
41.214,-157.3°
41.247,-156.6°
41.281,-155.8°
41.312,-155.0°
41.346,-154.2°
41.380,-153.4°
41.412,-152.8°
41.445,-152.0°
41.478,-151.1°
41.511,-150.3°
41.546,-149.6°
41.578,-148.8°
41.612,-148.0°
41.647,-147.2°
41.677,-146.5°
41.710,-145.7°
41.744,-145.0°
41.778,-144.2°
41.809,-143.6°
41.844,-142.7°
41.875,-142.0°
41.908,-141.0°
41.944,-140.3°
41.975,-139.6°
42.010,-138.8°
42.041,-138.1°
42.076,-137.2°
42.110,-136.4°
42.144,-135.7°
42.173,-135.0°
42.206,-134.0°
42.240,-133.4°
42.274,-132.6°
42.306,-131.8°
42.339,-131.1°
42.374,-130.4°
42.405,-129.6°
42.440,-128.9°
42.471,-128.2°
42.505,-127.4°
42.538,-126.7°
42.571,-125.9°
